Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],lowest_thawed_soil_depth[mm],highest_thawed_soil_depth[mm],lowest_water_table_depth[mm],highest_water_table_depth[mm]
01/01/2010 12:30,734139.520833,0.020833,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,32.861483,20.000000,-9999.000000,638.928348,638.928348,974.933617,796.592443,178.341175,316.746333,316.746333,91.856437,818.944239,-173.238635,5.836520,0.940735,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.836520,0.938776,0.000000,0.000000,0.000697,0.000000,0.000000,0.000000,-9999.000000,0.031366,0.007236,-9999.000000,0.035455,0.000000,-9999.000000,0.000000,155.989379,489.984968,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 13:00,734139.541667,0.041667,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,34.730819,30.732730,-9999.000000,423.138349,423.138349,958.073923,781.579714,176.494209,316.746333,316.746333,91.856437,804.782095,-185.009062,65.695467,130.939217,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.695467,130.758115,0.000000,0.000000,0.097318,0.000000,0.000000,0.000000,-9999.000000,0.034892,0.007236,-9999.000000,-1.010606,0.000000,-9999.000000,0.000000,153.291828,501.755395,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 13:30,734139.562500,0.062500,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,36.032889,33.320426,-9999.000000,358.991736,358.991736,922.713589,750.014785,172.698804,316.746333,316.746333,91.856437,775.079415,-193.335334,74.232901,148.519444,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.232901,148.344898,0.000000,0.000000,0.110548,0.000000,0.000000,0.000000,-9999.000000,0.037552,0.007236,-9999.000000,-0.847207,0.000000,-9999.000000,0.000000,147.634174,510.081667,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 14:00,734139.583333,0.083333,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,36.540856,34.836238,-9999.000000,299.460650,299.460650,869.578123,702.385840,167.192283,316.746333,316.746333,91.856437,730.445624,-196.612259,77.971735,156.400979,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77.971735,156.247541,0.000000,0.000000,0.116496,0.000000,0.000000,0.000000,-9999.000000,0.038639,0.007236,-9999.000000,-0.780720,0.000000,-9999.000000,0.000000,139.132500,513.358592,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 14:30,734139.604167,0.104167,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,36.427147,35.542618,-9999.000000,241.408929,241.408929,799.772853,639.467146,160.305707,316.746333,316.746333,91.856437,671.809197,-195.877313,78.061909,156.461045,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78.061909,156.337294,0.000000,0.000000,0.116550,0.000000,0.000000,0.000000,-9999.000000,0.038393,0.007236,-9999.000000,-0.754704,0.000000,-9999.000000,0.000000,127.963656,512.623646,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 15:00,734139.625000,0.125000,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,35.789736,35.622422,-9999.000000,183.275474,183.275474,714.781941,562.368767,152.413174,316.746333,316.746333,91.856437,600.416831,-191.772446,75.176006,150.192905,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.176006,150.102759,0.000000,0.000000,0.111832,0.000000,0.000000,0.000000,-9999.000000,0.037042,0.007236,-9999.000000,-0.751933,0.000000,-9999.000000,0.000000,114.365111,508.518779,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 15:30,734139.645833,0.145833,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,34.691251,35.178808,-9999.000000,124.440312,124.440312,616.474853,472.638243,143.836610,316.746333,316.746333,91.856437,517.838876,-184.757684,69.734164,138.906716,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.734164,138.850160,0.000000,0.000000,0.103336,0.000000,0.000000,0.000000,-9999.000000,0.034814,0.007236,-9999.000000,-0.767759,0.000000,-9999.000000,0.000000,98.635976,501.504017,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 16:00,734139.666667,0.166667,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,33.178883,34.276459,-9999.000000,64.836134,64.836134,507.132359,372.472740,134.659619,316.746333,316.746333,91.856437,425.991182,-175.222033,62.056976,123.876038,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.056976,123.849795,0.000000,0.000000,0.092036,0.000000,0.000000,0.000000,-9999.000000,0.031941,0.007236,-9999.000000,-0.803423,0.000000,-9999.000000,0.000000,81.141177,491.968366,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 16:30,734139.687500,0.187500,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,31.295670,32.962778,-9999.000000,4.823484,4.823484,389.519835,265.185446,124.334389,316.746333,316.746333,91.856437,327.196661,-163.543973,52.454989,106.374215,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.454989,106.372542,0.000000,0.000000,0.078903,0.000000,0.000000,0.000000,-9999.000000,0.028661,0.007236,-9999.000000,-0.865460,0.000000,-9999.000000,0.000000,62.323174,480.290306,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
01/01/2010 17:00,734139.708333,0.208333,1,0.000000,1,0.000000,5.000000,0.000000,5.000000,0.000000,0.766000,0.000000,0.500000,5.000000,20.000000,9.267100,29.089755,31.279594,-9999.000000,-54.746133,-54.746133,267.088433,156.347567,110.740867,316.746333,316.746333,91.856437,224.354284,-150.137657,41.302005,87.660755,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.302005,87.676377,0.000000,0.000000,0.064894,0.000000,0.000000,0.000000,-9999.000000,0.025202,0.007236,-9999.000000,-0.969021,0.000000,-9999.000000,0.000000,42.734149,466.883990,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000
