Dz,z.tot,Kh,Kv,vwc_r,vwc_s,VG_alpha,VG_n
10,10,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
13.6734693877551,23.6734693877551,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
17.3469387755102,41.0204081632653,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
21.0204081632653,62.0408163265306,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
24.6938775510204,86.734693877551,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
28.3673469387755,115.102040816327,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
32.0408163265306,147.142857142857,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
35.7142857142857,182.857142857143,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
39.3877551020408,222.244897959184,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
43.0612244897959,265.30612244898,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
46.734693877551,312.040816326531,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
50.4081632653061,362.448979591837,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
54.0816326530612,416.530612244898,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
57.7551020408163,474.285714285714,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
61.4285714285714,535.714285714286,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
65.1020408163265,600.816326530612,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
68.7755102040816,669.591836734694,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
72.4489795918367,742.040816326531,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
76.1224489795918,818.163265306123,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
79.7959183673469,897.95918367347,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
83.469387755102,981.428571428572,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
87.1428571428571,1068.57142857143,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
90.8163265306122,1159.38775510204,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
94.4897959183673,1253.87755102041,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
98.1632653061225,1352.04081632653,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
101.836734693878,1453.87755102041,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
105.510204081633,1559.38775510204,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
109.183673469388,1668.57142857143,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
112.857142857143,1781.42857142857,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
116.530612244898,1897.95918367347,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
120.204081632653,2018.16326530612,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
123.877551020408,2142.04081632653,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
127.551020408163,2269.59183673469,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
131.224489795918,2400.81632653061,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
134.897959183673,2535.71428571429,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
138.571428571429,2674.28571428571,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
142.244897959184,2816.5306122449,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
145.918367346939,2962.44897959184,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
149.591836734694,3112.04081632653,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
153.265306122449,3265.30612244898,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
156.938775510204,3422.24489795918,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
160.612244897959,3582.85714285714,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
164.285714285714,3747.14285714286,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
167.959183673469,3915.10204081633,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
171.632653061224,4086.73469387755,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
175.30612244898,4262.04081632653,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
178.979591836735,4441.02040816327,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
182.65306122449,4623.67346938776,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
186.326530612245,4810,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
190,5000,0.0028889,0.0028889,0.078,0.43,0.0036,1.56
